"","playerID","yearID","stintID","teamID","lgID","G","AB","R","H","DOUBLE","TRIPLE","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP"
"157","youngdm01",2002,1,"DET","AL",54,201,25,57,14,0,7,27,2,0,12,39,5,2,0,1,12
"161","velarra01",2002,1,"OAK","AL",56,133,22,30,8,0,2,8,3,0,15,32,1,5,1,1,4
"162","tynerja01",2002,1,"TBA","AL",44,168,17,36,2,1,0,9,7,1,7,19,0,1,3,1,1
"163","thompry01",2002,1,"MIL","NL",62,137,16,34,9,2,8,24,1,0,7,38,0,2,0,0,7
"173","selbybi01",2002,1,"CLE","AL",65,159,15,34,7,2,6,21,0,1,15,27,2,0,0,2,4
"176","riverru01",2002,1,"TEX","AL",69,158,17,33,4,0,4,14,4,2,17,45,0,5,4,2,2
"192","matosju01",2002,1,"SDN","NL",76,185,19,44,3,0,2,19,1,1,9,33,0,2,3,1,5
"195","maciajo01",2002,2,"MON","NL",90,231,33,59,17,1,7,33,5,6,13,44,0,1,4,3,2
"196","maciajo01",2002,1,"DET","AL",33,107,10,25,4,0,0,6,3,2,8,13,0,1,4,1,4
"199","lopezlu02",2002,2,"BAL","AL",52,109,10,23,6,0,2,9,1,0,3,20,0,0,0,0,3
"201","lawrejo01",2002,1,"TOR","AL",55,150,16,27,4,0,2,15,2,1,16,38,0,2,2,4,1
"205","jenkige01",2002,1,"MIL","NL",67,243,35,59,17,1,10,29,1,2,22,60,1,6,0,1,8
"208","gutieri01",2002,1,"CLE","AL",94,353,38,97,13,0,4,38,0,1,20,48,0,7,3,1,14
"211","greerru01",2002,1,"TEX","AL",51,199,24,59,9,2,1,17,1,0,19,17,0,0,0,1,5
"212","gonzaal02",2002,1,"FLO","NL",42,151,15,34,7,1,2,18,3,1,12,32,1,4,3,2,2
"216","fletcda01",2002,1,"TOR","AL",45,127,8,28,6,0,3,22,0,0,4,13,0,0,1,3,4
"217","estalbo02",2002,1,"COL","NL",38,112,17,23,8,0,8,25,0,1,14,33,0,0,0,4,1
"220","deshide01",2002,1,"CHN","NL",67,146,20,28,6,1,3,10,10,1,21,38,2,0,6,1,0
"224","catalfr01",2002,1,"TEX","AL",68,212,42,57,16,6,3,23,9,5,25,27,0,8,3,2,3
"226","canizja01",2002,1,"MIN","AL",38,112,14,24,8,1,0,11,0,1,10,22,0,1,1,2,1
"232","bergepe01",2002,1,"MON","NL",31,123,24,23,3,2,0,7,10,3,22,44,0,0,3,0,0
"238","bautida01",2002,1,"ARI","NL",40,154,22,50,5,2,6,23,4,2,11,21,2,0,0,1,4
"251","dunstsh01",2002,1,"SFN","NL",72,147,7,34,5,0,1,9,1,0,3,33,0,1,1,1,0
"253","minorda01",2002,1,"SFN","NL",83,173,21,41,6,0,10,24,0,0,24,34,6,2,0,2,8
"254","shinjts01",2002,1,"SFN","NL",118,362,42,86,15,3,9,37,5,0,24,46,2,6,3,3,5
"256","snowjt01",2002,1,"SFN","NL",143,422,47,104,26,2,6,53,0,0,59,90,5,7,0,6,11
"257","sandere02",2002,1,"SFN","NL",140,505,75,126,23,6,23,85,18,6,47,121,3,12,0,7,10
"258","felizpe01",2002,1,"SFN","NL",67,146,14,37,4,1,2,13,0,0,6,27,1,0,0,1,2
"259","aurilri01",2002,1,"SFN","NL",133,538,76,138,35,2,15,61,1,2,37,90,0,4,3,7,15
"260","goodwto01",2002,1,"SFN","NL",78,154,23,40,5,2,1,17,16,2,14,25,0,0,3,0,3
"261","bellda01",2002,1,"SFN","NL",154,552,82,144,29,2,20,73,1,2,54,80,2,9,6,7,18
"262","benarma01",2002,1,"SFN","NL",65,123,16,34,9,2,1,13,5,1,7,26,0,1,0,0,3
"263","loftoke01",2002,2,"SFN","NL",46,180,30,48,10,3,3,9,7,3,23,22,0,1,1,0,1
"264","martira03",2002,1,"SFN","NL",72,181,26,49,10,2,4,25,2,0,14,26,2,4,0,1,1
"266","santibe01",2002,1,"SFN","NL",126,478,56,133,24,5,16,74,4,2,27,73,8,2,3,7,19
"267","torreyo01",2002,1,"SFN","NL",53,136,17,38,10,0,2,14,0,0,14,20,2,2,3,0,11
"268","kentje01",2002,1,"SFN","NL",152,623,102,195,42,2,37,108,5,1,52,101,3,4,0,3,20
"269","bondsba01",2002,1,"SFN","NL",143,403,117,149,31,2,46,110,9,2,198,47,68,9,0,2,4
"304","hubbatr01",2002,1,"SDN","NL",89,129,16,27,5,0,1,7,9,6,14,28,0,0,0,1,3
"306","lampkto01",2002,1,"SDN","NL",104,281,32,61,10,1,10,37,4,2,38,59,7,3,1,4,4
"307","gonzawi01",2002,1,"SDN","NL",56,164,16,36,8,1,1,20,0,0,27,24,3,1,0,2,10
"308","jimenda01",2002,1,"SDN","NL",87,321,39,77,11,4,3,33,4,2,34,63,1,0,0,2,10
"309","lankfra01",2002,1,"SDN","NL",81,205,20,46,7,1,6,26,2,2,30,61,3,2,1,2,3
"310","gantro01",2002,1,"SDN","NL",102,309,58,81,14,1,18,59,4,6,36,59,1,2,1,5,8
"311","trammbu01",2002,1,"SDN","NL",133,403,54,98,16,1,17,56,1,3,53,71,2,3,3,3,6
"312","cruzde01",2002,1,"SDN","NL",151,514,49,135,28,2,7,47,2,3,22,58,2,3,3,5,20
"313","burrose01",2002,1,"SDN","NL",63,192,18,52,5,1,1,11,2,0,12,30,1,1,1,0,6
"314","vazqura01",2002,1,"SDN","NL",128,423,50,116,21,5,2,32,7,2,45,79,3,1,3,2,6
"315","nevinph01",2002,1,"SDN","NL",107,407,53,116,16,0,12,57,4,0,38,87,4,1,0,4,12
"316","kingsge01",2002,2,"SDN","NL",89,216,27,60,10,3,2,28,9,2,20,47,0,3,3,1,5
"317","kotsama01",2002,1,"SDN","NL",153,578,82,169,27,7,17,61,11,9,59,89,0,3,2,4,10
"319","kleskry01",2002,1,"SDN","NL",146,540,90,162,39,1,29,95,6,2,76,86,11,4,1,4,7
"342","izturce01",2002,1,"LAN","NL",135,439,43,102,24,2,1,31,7,7,14,39,1,0,10,5,12
"345","beltrad01",2002,1,"LAN","NL",159,587,70,151,26,5,21,75,7,5,37,96,4,4,1,6,17
"347","grudzma01",2002,1,"LAN","NL",150,536,56,145,23,0,9,50,4,1,22,89,4,3,1,4,17
